Day_of_week,Age_band_of_driver,Sex_of_driver,Type_of_vehicle,Area_accident_oc cured,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
Monday,18-30,Female,Train,Highways,Grass medians,O Shape,Moist,Daylight,Raining,2,1,Male,Overtaking,Slight Injury
Monday,31-50,Female,E-Bike,Highways,Concrete barriers,O Shape,Moist,Daylight,Raining,3,1,Male,Drunk driving,Slight Injury
Monday,Over 51,Female,Aeroplane,Highways,Double carriageway ,O Shape,Moist,Daylight,Raining,3,1,Female,Overspeed,Slight Injury
Friday,31-50,Female,Aeroplane,Industrial areas,Concrete barriers,O Shape,Moist,Daylight,Raining,3,1,Male,No distancing,Slight Injury
Friday,31-50,Female,E-Bike,Industrial areas,One way,O Shape,Moist,Daylight,Raining,3,1,Female,Overspeed,Slight Injury
Saturday,Over 51,Female,Lorry,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,2,Female,Overtaking,Slight Injury
Wednesday,31-50,Female,Lorry,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,2,Male,Overspeed,Slight Injury
Wednesday,Over 51,Female,Lorry,Residential areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,2,Male,Overloading,Slight Injury
Friday,Over 51,Female,E-Bike,Highways,Concrete barriers,O Shape,Moist,Daylight,Normal,1,1,Female,No distancing,Serious Injury
Monday,18-30,Female,E-Bike,Residential areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Male,Moving Backward,Serious Injury
Monday,18-30,Female,Public,Highways,Double carriageway ,O Shape,Dry,Daylight,Normal,2,1,Female,Moving Backward,Serious Injury
Tuesday,31-50,Female,Public,Highways,One way,O Shape,Dry,Daylight,Normal,2,1,Female,No distancing,Serious Injury
Tuesday,Over 51,Female,Lorry,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Male,No distancing,Serious Injury
Thursday,Over 51,Female,Lorry,Highways,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Female,No distancing,Slight Injury
Thursday,Over 51,Female,Public,Industrial areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Thursday,18-30,Female,Aeroplane,Highways,Grass medians,O Shape,Dry,Daylight,Normal,1,1,Female,Overspeed,Slight Injury
Thursday,18-30,Female,Lorry,Office areas,Concrete barriers,O Shape,Moist,Daylight,Raining,1,1,Female,Overloading,Slight Injury
Friday,Under 18,Female,E-Bike,Residential areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Female,Overtaking,Slight Injury
Friday,18-30,Female,Aeroplane,Office areas,One way,O Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Friday,31-50,Female,Aeroplane,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,1,1,Female,Overspeed,Slight Injury
Saturday,18-30,Female,E-Bike,Highways,Double carriageway ,O Shape,Dry,Daylight,Normal,2,2,Male,No distancing,Serious Injury
Saturday,18-30,Female,E-Bike,Highways,Grass medians,O Shape,Snow,Daylight,Normal,2,2,Female,Overspeed,Serious Injury
Saturday,18-30,Female,Lorry,Residential areas,Grass medians,O Shape,Snow,Daylight,Normal,2,1,Male,Overloading,Slight Injury
Sunday,31-50,Female,E-Bike,Highways,Grass medians,O Shape,Snow,Daylight,Normal,2,1,Female,Overloading,Slight Injury
Sunday,18-30,Female,Public,Highways,Speed breaker,O Shape,Snow,Daylight,Normal,2,1,Male,No distancing,Slight Injury
Wednesday,Over 51,Female,Lorry,Highways,Grass medians,O Shape,Snow,Daylight,Normal,2,1,Female,No distancing,Slight Injury
Wednesday,Over 51,Female,Public,Residential areas,Grass medians,O Shape,Snow,Daylight,Normal,2,1,Female,Drunk driving,Slight Injury
Friday,31-50,Female,Lorry,Office areas,Grass medians,O Shape,Snow,Daylight,Normal,2,1,Female,Drunk driving,Slight Injury
Friday,18-30,Female,Lorry,Residential areas,Grass medians,O Shape,Snow,Daylight,Normal,1,1,Female,Overspeed,Slight Injury
Friday,18-30,Female,Lorry,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Thursday,18-30,Female,Public,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Thursday,18-30,Female,Public,Industrial areas,Concrete barriers,O Shape,Snow,Night,Normal,1,1,Male,Overspeed,Slight Injury
Friday,31-50,Female,Train,Highways,One way,O Shape,Snow,Daylight,Normal,2,3,Female,Overspeed,Slight Injury
Friday,31-50,Female,Lorry,Market areas,Concrete barriers,O Shape,Snow,Daylight,Normal,2,3,Female,Moving Backward,Slight Injury
Monday,Over 51,Female,E-Bike,Office areas,Grass medians,O Shape,Snow,Daylight,Normal,2,3,Male,No distancing,Slight Injury
Monday,31-50,Female,Taxi,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,2,1,Male,Moving Backward,Slight Injury
Sunday,31-50,Female,E-Bike,Residential areas,Grass medians,O Shape,Snow,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Sunday,Under 18,Female,Public,Highways,Grass medians,O Shape,Snow,Night,Normal,3,1,Female,Overspeed,Slight Injury
Tuesday,31-50,Female,Public,Highways,Speed breaker,O Shape,Snow,Night,Normal,3,1,Female,No distancing,Slight Injury
Tuesday,Under 18,Female,Train,Office areas,One way,O Shape,Snow,Night,Normal,3,1,Female,Overspeed,Slight Injury
Saturday,18-30,Female,Cycle,Residential areas,Concrete barriers,O Shape,Snow,Daylight,Normal,3,3,Male,Overloading,Slight Injury
Saturday,18-30,Female,Lorry,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,3,3,Female,No distancing,Slight Injury
Wednesday,31-50,Female,Train,Residential areas,Grass medians,O Shape,Snow,Daylight,Normal,3,3,Male,Overspeed,Slight Injury
Wednesday,Under 18,Female,Lorry,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,3,3,Female,No distancing,Slight Injury
Sunday,Over 51,Female,Public,Residential areas,Concrete barriers,O Shape,Snow,Daylight,Normal,1,1,Female,Overspeed,Serious Injury
Wednesday,31-50,Female,Lorry,Office areas,One way,O Shape,Snow,Night,Normal,1,1,Male,Overloading,Serious Injury
Wednesday,Under 18,Female,Aeroplane,Residential areas,Concrete barriers,O Shape,Snow,Daylight,Normal,2,1,Male,Overspeed,Serious Injury
Friday,18-30,Female,Train,Highways,One way,O Shape,Snow,Daylight,Normal,2,1,Male,Overspeed,Serious Injury
Friday,18-30,Female,E-Bike,Industrial areas,Concrete barriers,O Shape,Snow,Daylight,Normal,2,1,Female,Overtaking,Slight Injury
Friday,Over 51,Female,Public,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,2,1,Female,Drunk driving,Slight Injury
Tuesday,31-50,Female,Aeroplane,Residential areas,Grass medians,O Shape,Snow,Daylight,Normal,2,1,Male,Drunk driving,Slight Injury
Tuesday,Over 51,Female,Lorry,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Sunday,Under 18,Female,E-Bike,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,1,1,Female,Drunk driving,Serious Injury
Sunday,Over 51,Female,Public,Office areas,Grass medians,O Shape,Snow,Daylight,Normal,3,2,Male,Overspeed,Serious Injury
Saturday,18-30,Female,Cycle,Industrial areas,Concrete barriers,O Shape,Snow,Daylight,Normal,3,2,Female,Overspeed,Serious Injury
Saturday,18-30,Female,E-Bike,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,3,2,Female,Overspeed,Serious Injury
Friday,31-50,Female,Taxi,Office areas,Speed breaker,O Shape,Snow,Daylight,Normal,3,2,Male,Overloading,Serious Injury
Thursday,18-30,Female,Public,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,3,2,Male,Moving Backward,Serious Injury
Friday,18-30,Female,Lorry,Office areas,Speed breaker,O Shape,Snow,Daylight,Normal,3,2,Female,Overspeed,Serious Injury
Friday,31-50,Female,Lorry,Office areas,Grass medians,O Shape,Snow,Daylight,Normal,2,2,Male,Overloading,Slight Injury
Sunday,18-30,Female,Lorry,Market areas,Concrete barriers,O Shape,Snow,Daylight,Normal,2,2,Female,Overspeed,Slight Injury
Sunday,18-30,Female,Public,Residential areas,Concrete barriers,O Shape,Snow,Daylight,Normal,2,2,Female,Overspeed,Slight Injury
Sunday,18-30,Female,Lorry,Office areas,Speed breaker,O Shape,Snow,Daylight,Normal,1,1,Male,Overspeed,Slight Injury
Sunday,Over 51,Female,Lorry,Industrial areas,Speed breaker,O Shape,Snow,Daylight,Normal,2,1,Female,Overloading,Serious Injury
Sunday,Over 51,Female,Aeroplane,Highways,Concrete barriers,O Shape,Snow,Daylight,Normal,2,1,Male,Overloading,Serious Injury
Tuesday,31-50,Female,Lorry,Residential areas,Grass medians,O Shape,Snow,Daylight,Normal,2,1,Male,Overspeed,Serious Injury
Tuesday,Under 18,Female,Taxi,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Male,Overtaking,Serious Injury
Tuesday,Under 18,Male,E-Bike,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Male,Overloading,Slight Injury
Sunday,31-50,Male,Lorry,Residential areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Female,No distancing,Slight Injury
Sunday,Under 18,Male,Taxi,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,3,2,Male,Overspeed,Slight Injury
Friday,18-30,Male,Public,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,3,2,Female,Overloading,Slight Injury
Friday,18-30,Male,Train,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,3,2,Female,Overloading,Slight Injury
Wednesday,31-50,Male,E-Bike,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,1,1,Male,Overtaking,Slight Injury
Wednesday,31-50,Male,Public,Highways,Grass medians,O Shape,Dry,Daylight,Normal,1,1,Female,Overspeed,Slight Injury
Tuesday,Over 51,Male,E-Bike,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,2,Male,Drunk driving,Slight Injury
Tuesday,31-50,Male,E-Bike,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,2,Female,Overtaking,Slight Injury
Wednesday,18-30,Male,E-Bike,Residential areas,One way,O Shape,Dry,Daylight,Normal,2,2,Female,Overspeed,Slight Injury
Sunday,31-50,Male,Lorry,Market areas,Grass medians,O Shape,Dry,Daylight,Normal,1,1,Male,Moving Backward,Slight Injury
Sunday,31-50,Male,E-Bike,Residential areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Thursday,31-50,Male,E-Bike,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Thursday,31-50,Male,Public,Highways,One way,O Shape,Dry,Daylight,Normal,1,1,Female,Overspeed,Serious Injury
Thursday,Over 51,Male,Taxi,Highways,Grass medians,O Shape,Moist,Night,Raining,2,3,Male,Overloading,Slight Injury
Friday,18-30,Male,E-Bike,Highways,One way,O Shape,Moist,Night,Raining,2,3,Female,Overloading,Slight Injury
Friday,Under 18,Male,Public,Highways,Concrete barriers,O Shape,Moist,Night,Raining,2,3,Male,Overloading,Slight Injury
Monday,Under 18,Male,Train,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,1,2,Male,Drunk driving,Serious Injury
Tuesday,18-30,Male,Train,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,1,2,Female,Overtaking,Serious Injury
Tuesday,Under 18,Male,E-Bike,Office areas,One way,O Shape,Dry,Daylight,Normal,2,1,Male,Moving Backward,Serious Injury
Friday,Under 18,Male,Lorry,Residential areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Male,Drunk driving,Serious Injury
Friday,18-30,Male,E-Bike,Office areas,One way,O Shape,Dry,Daylight,Normal,2,1,Female,Moving Backward,Serious Injury
Friday,18-30,Male,Public,Residential areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Female,No distancing,Serious Injury
Tuesday,31-50,Male,E-Bike,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,1,1,Male,Overspeed,Slight Injury
Tuesday,18-30,Male,E-Bike,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Friday,31-50,Male,Lorry,Office areas,One way,O Shape,Dry,Daylight,Normal,2,1,Male,Overloading,Slight Injury
Monday,18-30,Male,E-Bike,Market areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Monday,Over 51,Male,Aeroplane,Residential areas,One way,O Shape,Dry,Daylight,Normal,2,1,Female,No distancing,Slight Injury
Monday,Over 51,Male,Cycle,Office areas,Grass medians,O Shape,Moist,Daylight,Normal,1,1,Male,Overspeed,Serious Injury
Sunday,Over 51,Male,E-Bike,Residential areas,Grass medians,O Shape,Dry,Daylight,Cloudy,2,1,Female,No distancing,Slight Injury
Sunday,Over 51,Male,E-Bike,Office areas,Grass medians,O Shape,Dry,Daylight,Cloudy,2,1,Male,Moving Backward,Slight Injury
Sunday,31-50,Female,E-Bike,Residential areas,One way,O Shape,Moist,Daylight,Normal,2,1,Female,No distancing,Slight Injury
Sunday,31-50,Female,Public,Highways,Speed breaker,O Shape,Moist,Daylight,Normal,2,1,Female,Moving Backward,Slight Injury
Sunday,31-50,Male,Cycle,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,1,1,Female,Overspeed,Slight Injury
Thursday,Under 18,Male,E-Bike,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,1,1,Female,Overtaking,Slight Injury
Thursday,31-50,Male,E-Bike,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Male,No distancing,Slight Injury
Friday,Under 18,Male,Aeroplane,Residential areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Friday,Over 51,Male,Train,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Female,No distancing,Slight Injury
Thursday,18-30,Female,Lorry,Highways,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Thursday,31-50,Male,Taxi,Office areas,Concrete barriers,O Shape,Dry,Night,Normal,1,1,Male,Moving Backward,Serious Injury
Monday,31-50,Male,Aeroplane,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,1,1,Male,Overspeed,Slight Injury
Monday,31-50,Male,Public,Highways,Grass medians,O Shape,Dry,Daylight,Normal,1,1,Male,No distancing,Slight Injury
Monday,Over 51,Male,E-Bike,Highways,One way,O Shape,Moist,Daylight,Raining,1,1,Female,Overspeed,Slight Injury
Monday,Over 51,Male,E-Bike,Office areas,Grass medians,O Shape,Moist,Daylight,Raining,2,2,Female,Overspeed,Slight Injury
Monday,Under 18,Male,Public,Office areas,Concrete barriers,O Shape,Moist,Daylight,Raining,2,2,Female,Overspeed,Slight Injury
Friday,18-30,Male,Lorry,Residential areas,Concrete barriers,O Shape,Moist,Daylight,Raining,2,2,Female,Overspeed,Slight Injury
Thursday,Over 51,Male,Lorry,Highways,Grass medians,O Shape,Dry,Daylight,Normal,3,2,Female,Overtaking,Slight Injury
Thursday,18-30,Male,Train,Residential areas,Concrete barriers,O Shape,Dry,Daylight,Normal,3,2,Female,Overspeed,Slight Injury
Thursday,Under 18,Male,Aeroplane,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,3,2,Female,Overloading,Slight Injury
Wednesday,18-30,Male,Lorry,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,3,2,Male,Overloading,Slight Injury
Wednesday,31-50,Male,Train,Highways,Grass medians,O Shape,Moist,Daylight,Raining,1,1,Male,No distancing,Slight Injury
Saturday,18-30,Male,E-Bike,Highways,Speed breaker,O Shape,Dry,Daylight,Normal,3,1,Female,No distancing,Slight Injury
Wednesday,Under 18,Male,Aeroplane,Office areas,One way,O Shape,Dry,Daylight,Normal,3,1,Female,Overtaking,Slight Injury
Wednesday,31-50,Male,Aeroplane,Residential areas,Concrete barriers,O Shape,Dry,Daylight,Normal,3,1,Female,Overloading,Slight Injury
Tuesday,18-30,Male,Taxi,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,2,Female,Overspeed,Slight Injury
Tuesday,18-30,Male,E-Bike,Residential areas,Grass medians,O Shape,Dry,Daylight,Normal,2,2,Male,Overtaking,Slight Injury
Saturday,31-50,Male,Train,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,1,1,Female,Overspeed,Slight Injury
Monday,18-30,Male,Train,Residential areas,Concrete barriers,O Shape,Moist,Daylight,Raining,1,1,Male,Moving Backward,Slight Injury
Monday,18-30,Male,Lorry,Office areas,One way,O Shape,Moist,Daylight,Raining,2,2,Male,Drunk driving,Slight Injury
Sunday,31-50,Male,Lorry,Residential areas,Concrete barriers,O Shape,Moist,Daylight,Raining,2,2,Female,No distancing,Slight Injury
Sunday,Under 18,Male,Train,Highways,One way,O Shape,Moist,Daylight,Raining,1,2,Female,No distancing,Slight Injury
Saturday,Over 51,Male,E-Bike,Industrial areas,Concrete barriers,O Shape,Moist,Daylight,Raining,1,2,Female,No distancing,Slight Injury
Thursday,18-30,Male,Taxi,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Female,Overtaking,Slight Injury
Wednesday,31-50,Male,Aeroplane,Residential areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Tuesday,18-30,Male,E-Bike,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,1,1,Male,Drunk driving,Serious Injury
Tuesday,18-30,Female,E-Bike,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,1,1,Male,Overtaking,Slight Injury
Monday,18-30,Male,E-Bike,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,1,1,Female,Overspeed,Slight Injury
Wednesday,Under 18,Female,E-Bike,Industrial areas,Concrete barriers,O Shape,Moist,Night,Cloudy,1,1,Male,Overtaking,Serious Injury
Wednesday,18-30,Male,Public,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,2,Female,Overspeed,Slight Injury
Tuesday,31-50,Male,Train,Office areas,Speed breaker,O Shape,Dry,Daylight,Normal,2,2,Male,Overtaking,Slight Injury
Tuesday,31-50,Male,Lorry,Highways,Concrete barriers,O Shape,Dry,Night,Normal,2,1,Male,No distancing,Slight Injury
Monday,31-50,Male,Lorry,Office areas,Speed breaker,O Shape,Dry,Night,Normal,2,1,Female,Moving Backward,Slight Injury
Monday,18-30,Male,Train,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Male,Overtaking,Slight Injury
Wednesday,18-30,Male,Aeroplane,Market areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Friday,31-50,Male,E-Bike,Residential areas,Concrete barriers,O Shape,Dry,Daylight,Normal,2,2,Male,No distancing,Slight Injury
Friday,31-50,Male,Taxi,Office areas,Speed breaker,O Shape,Dry,Daylight,Normal,2,2,Male,Moving Backward,Slight Injury
Friday,18-30,Male,Aeroplane,Industrial areas,Speed breaker,O Shape,Dry,Daylight,Normal,1,1,Male,No distancing,Slight Injury
Friday,Over 51,Female,E-Bike,Highways,Concrete barriers,O Shape,Moist,Daylight,Raining,2,3,Male,Overtaking,Slight Injury
Wednesday,31-50,Male,Taxi,Residential areas,Grass medians,O Shape,Moist,Daylight,Raining,3,3,Male,Overtaking,Slight Injury
Wednesday,18-30,Male,Aeroplane,Office areas,Grass medians,O Shape,Moist,Daylight,Raining,3,3,Female,Overspeed,Slight Injury
Saturday,18-30,Male,Train,Office areas,Grass medians,O Shape,Moist,Daylight,Raining,3,3,Male,Overtaking,Slight Injury
Saturday,Over 51,Male,Lorry,Residential areas,Grass medians,O Shape,Moist,Daylight,Raining,3,3,Female,Overspeed,Slight Injury
Saturday,Over 51,Male,Taxi,Office areas,Grass medians,O Shape,Moist,Daylight,Raining,3,2,Female,Overspeed,Slight Injury
Thursday,Over 51,Male,E-Bike,Office areas,Grass medians,O Shape,Moist,Daylight,Raining,3,2,Male,Overspeed,Slight Injury
Thursday,18-30,Male,Train,Office areas,Concrete barriers,O Shape,Moist,Daylight,Raining,2,2,Female,Overspeed,Slight Injury
Wednesday,18-30,Male,E-Bike,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,1,1,Female,No distancing,Slight Injury
Wednesday,18-30,Male,Public,Highways,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Female,Overtaking,Slight Injury
Wednesday,18-30,Male,Train,Highways,Concrete barriers,O Shape,Dry,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Friday,31-50,Male,Taxi,Highways,Concrete barriers,O Shape,Moist,Daylight,Normal,2,1,Male,No distancing,Serious Injury
Monday,18-30,Male,Lorry,Residential areas,One way,O Shape,Moist,Daylight,Normal,3,1,Female,Overspeed,Serious Injury
Monday,Over 51,Male,Aeroplane,Market areas,Grass medians,O Shape,Moist,Daylight,Normal,3,1,Male,Overspeed,Slight Injury
Monday,31-50,Male,E-Bike,Residential areas,Grass medians,O Shape,Moist,Daylight,Normal,3,1,Female,Overspeed,Slight Injury
Monday,31-50,Male,Train,Office areas,Concrete barriers,O Shape,Dry,Daylight,Normal,3,1,Female,Overspeed,Slight Injury
Friday,18-30,Male,Train,Highways,One way,O Shape,Dry,Daylight,Normal,3,1,Female,Overloading,Slight Injury
Saturday,18-30,Male,Train,Highways,Grass medians,O Shape,Dry,Daylight,Normal,3,1,Female,Overtaking,Slight Injury
Saturday,18-30,Male,E-Bike,Highways,One way,O Shape,Dry,Daylight,Normal,3,1,Male,Moving Backward,Slight Injury
Saturday,Over 51,Male,Taxi,Highways,Concrete barriers,O Shape,Moist,Night,Normal,1,1,Male,Overspeed,Serious Injury
Wednesday,18-30,Male,Taxi,Highways,Concrete barriers,O Shape,Moist,Daylight,Normal,1,1,Female,Drunk driving,Slight Injury
Monday,18-30,Male,Train,Office areas,Grass medians,O Shape,Moist,Daylight,Normal,2,1,Male,Drunk driving,Slight Injury
Monday,31-50,Male,Train,Office areas,One way,O Shape,Moist,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Thursday,31-50,Male,Train,Residential areas,Grass medians,O Shape,Moist,Daylight,Normal,1,1,Male,Overtaking,Serious Injury
Thursday,31-50,Male,Train,Office areas,One way,O Shape,Moist,Daylight,Normal,2,1,Female,Overloading,Serious Injury
Monday,Over 51,Female,Aeroplane,Residential areas,Concrete barriers,O Shape,Moist,Daylight,Normal,3,1,Female,Overspeed,Serious Injury
Monday,Over 51,Female,Train,Office areas,Grass medians,O Shape,Moist,Daylight,Normal,3,1,Male,No distancing,Slight Injury
Thursday,31-50,Female,Train,Highways,Concrete barriers,O Shape,Moist,Daylight,Normal,3,1,Female,Overspeed,Slight Injury
Friday,31-50,Male,Public,Office areas,One way,O Shape,Moist,Daylight,Normal,3,3,Female,Drunk driving,Slight Injury
Friday,Over 51,Male,E-Bike,Market areas,Grass medians,O Shape,Moist,Daylight,Normal,3,3,Female,Overloading,Slight Injury
Thursday,31-50,Male,E-Bike,Residential areas,One way,O Shape,Moist,Daylight,Normal,3,3,Female,Overspeed,Slight Injury
Sunday,Over 51,Male,Taxi,Office areas,Grass medians,O Shape,Moist,Daylight,Normal,3,3,Male,Moving Backward,Slight Injury
Sunday,31-50,Male,Cycle,Residential areas,Grass medians,O Shape,Moist,Daylight,Normal,3,3,Male,Drunk driving,Slight Injury
Tuesday,18-30,Male,Train,Office areas,Grass medians,O Shape,Moist,Daylight,Normal,3,3,Female,Overloading,Slight Injury
Tuesday,31-50,Male,Cycle,Office areas,Concrete barriers,O Shape,Moist,Daylight,Normal,3,3,Female,Overspeed,Slight Injury
Tuesday,31-50,Male,E-Bike,Residential areas,Grass medians,O Shape,Moist,Daylight,Normal,3,3,Female,Overspeed,Slight Injury
Tuesday,18-30,Male,E-Bike,Highways,Concrete barriers,O Shape,Moist,Night,Normal,3,2,Male,Moving Backward,Slight Injury
Tuesday,31-50,Male,Train,Industrial areas,Grass medians,O Shape,Moist,Night,Normal,3,2,Female,Overtaking,Slight Injury
Tuesday,31-50,Female,Public,Office areas,Concrete barriers,O Shape,Moist,Night,Normal,3,2,Female,Drunk driving,Slight Injury
Wednesday,18-30,Male,Public,Industrial areas,Concrete barriers,O Shape,Moist,Night,Normal,3,2,Male,No distancing,Slight Injury
Wednesday,18-30,Male,Train,Residential areas,Concrete barriers,O Shape,Moist,Night,Normal,3,2,Female,Overspeed,Slight Injury
Wednesday,Over 51,Male,Train,Residential areas,Grass medians,O Shape,Moist,Night,Normal,3,2,Female,No distancing,Slight Injury
Friday,Over 51,Male,Taxi,Highways,Grass medians,O Shape,Moist,Daylight,Normal,3,2,Female,Overtaking,Slight Injury
Friday,Over 51,Male,E-Bike,Residential areas,Grass medians,O Shape,Moist,Daylight,Normal,3,2,Male,Overspeed,Slight Injury
Friday,31-50,Male,E-Bike,Highways,Speed breaker,O Shape,Moist,Daylight,Normal,3,2,Female,No distancing,Slight Injury
Thursday,31-50,Male,E-Bike,Highways,Grass medians,O Shape,Moist,Daylight,Normal,3,1,Female,No distancing,Serious Injury
Thursday,31-50,Male,Train,Highways,One way,O Shape,Moist,Daylight,Normal,3,1,Male,Overtaking,Serious Injury
Sunday,Under 18,Male,Train,Highways,One way,O Shape,Moist,Daylight,Normal,3,3,Female,No distancing,Slight Injury
Sunday,18-30,Male,E-Bike,Highways,One way,O Shape,Moist,Daylight,Normal,3,3,Male,Overtaking,Slight Injury
Sunday,31-50,Male,Train,Highways,One way,O Shape,Moist,Daylight,Normal,3,3,Male,No distancing,Slight Injury
Sunday,31-50,Male,Cycle,Highways,Concrete barriers,O Shape,Moist,Daylight,Normal,3,3,Male,No distancing,Slight Injury
Monday,Over 51,Male,Aeroplane,Highways,Grass medians,O Shape,Moist,Daylight,Normal,3,2,Female,No distancing,Slight Injury
Thursday,31-50,Male,Aeroplane,Highways,Grass medians,O Shape,Moist,Daylight,Normal,3,2,Female,Overtaking,Slight Injury
Thursday,31-50,Male,Lorry,Market areas,Speed breaker,O Shape,Moist,Daylight,Normal,3,2,Male,Overloading,Slight Injury
Friday,Over 51,Male,Taxi,Residential areas,Grass medians,O Shape,Moist,Daylight,Normal,3,2,Female,Moving Backward,Slight Injury
Friday,31-50,Male,Train,Highways,Concrete barriers,O Shape,Moist,Daylight,Normal,3,2,Female,Overloading,Slight Injury
Tuesday,Over 51,Female,Lorry,Office areas,Grass medians,O Shape,Moist,Daylight,Normal,3,1,Male,No distancing,Slight Injury
Tuesday,31-50,Male,Aeroplane,Residential areas,Grass medians,O Shape,Moist,Daylight,Normal,3,1,Female,Overtaking,Slight Injury
Tuesday,Over 51,Male,E-Bike,Highways,One way,O Shape,Moist,Daylight,Normal,3,1,Male,Overspeed,Serious Injury
Tuesday,18-30,Male,E-Bike,Residential areas,Concrete barriers,O Shape,Moist,Night,Normal,3,1,Male,Overspeed,Slight Injury
Tuesday,31-50,Male,E-Bike,Residential areas,Grass medians,O Shape,Moist,Night,Normal,3,1,Female,Overloading,Slight Injury
Tuesday,18-30,Male,Train,Residential areas,Concrete barriers,O Shape,Moist,Daylight,Normal,3,1,Male,Overspeed,Slight Injury
Wednesday,Under 18,Female,Cycle,Highways,Speed breaker,O Shape,Moist,Daylight,Normal,3,1,Male,Overspeed,Slight Injury
Thursday,31-50,Male,Public,Highways,Grass medians,O Shape,Moist,Daylight,Normal,3,1,Female,Overtaking,Slight Injury
Thursday,Over 51,Male,Public,Highways,One way,O Shape,Moist,Daylight,Normal,1,2,Female,Overtaking,Serious Injury
